# Espectro limpiado con polynomial
# Fecha: 2025-09-30 11:27:11
ppm,intensity
-86.63759999999999,127.33894788907256
-86.64760000000001,147.3592917824791
-86.6576,117.13742170830128
-86.6676,153.34803766653908
-86.6776,221.81063965719255
-86.6876,527.7226276802616
-86.6976,129.06350173574634
-86.7076,203.0424618236467
-86.7176,152.1715079439627
-86.7276,194.6696400966943
-86.7376,136.13635828184158
-86.7476,147.93616249940447
-86.7576,148.619252749383
-86.7676,103.22732903177717
-86.7776,290.270491346587
-86.7876,224.49143969381242
-86.79759999999999,119.6878740734535
-86.80760000000001,149.4004944855102
-86.8176,308.32360092998255
-86.82759999999999,298.4145934068705
-86.83760000000001,201.46627191617415
-86.8476,138.5247364578934
-86.85759999999999,134.3023870320283
-86.86760000000001,154.2038736385788
-86.8776,276.235346277545
-86.88759999999999,144.02225494892676
-86.89760000000001,137.6304496527242
-86.9076,133.79333038893725
-86.9176,152.87685715756595
-86.9276,148.6761499586103
-86.9376,141.99218879207027
-86.9476,154.95954365794586
-86.9576,87.60902455623712
-86.9676,185.247421486944
-86.9776,425.29780445006645
-86.9876,133.99617344560465
-86.9976,210.62382847355843
-87.0076,128.18486953392787
-87.0176,118.48799662671291
-87.0276,134.3868097519136
-87.0376,324.0754089095299
-87.04759999999999,179.06069409956189
-87.05760000000001,261.5807653220095
-87.0676,129.28272257687271
-87.07759999999999,107.57426586415158
-87.08760000000001,256.8746951838461
-87.0976,271.1877105359563
-87.10759999999999,219.082611920482
-87.11760000000001,179.6992993374234
-87.1276,101.33027278678048
-87.13759999999999,171.77833226855313
-87.14760000000001,272.1725777827414
-87.1576,109.19560932934543
-87.1676,138.30182690836503
-87.1776,156.71011051980022
-87.1876,113.3073201636511
-87.1976,207.00859583991758
-87.2076,168.0036575485997
-87.2176,262.5124052896975
-87.2276,138.8826390632109
-87.2376,111.8365588691399
-87.2476,123.29666470748458
-87.2576,244.2008565782449
-87.2676,461.9544344814209
-87.2776,113.38609841701242
-87.2876,132.81644838501964
-87.29759999999999,127.00388438544248
-87.30760000000001,140.33171641828096
-87.3176,377.38111448353504
-87.32759999999999,112.02810858120485
-87.33760000000001,136.4661787112902
-87.3476,130.43825487379127
-87.35759999999999,117.67460706870793
-87.36760000000001,294.3794452960402
-87.3776,429.3766695557881
-87.38759999999999,120.17257984795171
-87.39760000000001,125.39177617253092
-87.4076,170.80515852952576
-87.4176,441.4444269189363
-87.4276,296.79258134076235
-87.4376,132.9987017950041
-87.4476,112.19794828166148
-87.4576,123.79126080073449
-87.4676,124.12545935222315
-87.4776,119.49054393612744
-87.4876,107.98171455244736
-87.4976,126.37757120118293
-87.5076,248.6485138823341
-87.5176,279.16034259590094
-87.5276,317.61835734188344
-87.5376,78.59295812028151
-87.54759999999999,103.28794493109525
-87.55760000000001,318.6505177743246
-87.5676,128.53947664996963
-87.57759999999999,318.42922155803024
-87.58760000000001,276.2343524985065
-87.5976,298.23866947139845
-87.60759999999999,217.15777247670601
-87.61760000000001,117.8468615144292
-87.6276,128.47961658456802
-87.63759999999999,174.48859768712248
-87.64760000000001,211.98054482209255
-87.6576,124.62487798947829
-87.6676,94.18159718927966
-87.6776,297.86990242149665
-87.6876,190.6280936861293
-87.6976,213.77057098317755
-87.7076,250.75543431264146
-87.7176,90.03588367452099
-87.7276,113.03731906881617
-87.7376,112.31704049552698
